#-- A

#-- C

#-- E

#-- G

#-- I
"Installed Version", "Versão instalada"

#-- L
"Localizadores", "Localizadores"

#-- M

#-- N

#-- O
"Numero do Objeto", "Número do Objeto"

# -- R
"Record not found.","Registro não encontrado."

#-- S
"Sondas", "Sondas"
"Sonda Details", "Detalhes do Localizador"
"Sonda Directory", "Localizadores não entregues"

#-- T
"The record has been deleted.","Registro excluído com sucesso."
"The record has been saved.","Registro gravado com sucesso."
